ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,584,268.0,204.0,1.5354017046399961,0.92509417095357371,1.0,0.64745011086474502,0.61682831953432649,44.674946254861268,41.484937025383083,8.0622577482985491,3.6952430612225911,3.6055512754639891,16.127616066858735,16.964764518817073,-73.777617846043213,109.07600000000004,0.92551505546751189,0.43205804423319866,0.0041558008106663937,0.14535828449216853,0.10739299439801397,0.0057923987887459321,0.0056067476389977979,0.039710622979939929,0.056442591289228815,0.043483042711176902,0.0011840611924217466,0.001794557751864918,0.0035262237393908196,0.013715463955957467,0.010653441878546289,0.016062690866338193,0.019685547451166102,0.0024948612424836201,0.0021405218558080445,0.00031179771927574638,0.002736236520581331,0.0025490179103149066,0.004041716921733161,0.0044559396347321947,0.0011926844618672294,0.0092107263420527427,0.00099165538890200059,0.0029897383377952566,0.0029009201498251137,0.0014672308763956623,0.0022020530524020981,267.6267123287671,206.1541095890411,1
1,2,778,279.0,223.0,1.7542985368899091,0.94729574044177778,1.0,0.69901168014375559,0.54723460230097831,56.116491503907255,52.469038489379621,8.5440037453175304,3.9763336099995841,4.0,17.40773327342859,17.977501161420729,-80.447057933268255,133.66199999999998,0.92951015531660697,0.35981851282381278,0.012888483150905647,0.13176728473511823,0.092462808240358796,0.0053095221025820779,0.012096928534638103,0.045605895894622724,0.056508559800995513,0.040966973609866356,0.0014461132342430949,0.0094952035288123383,0.0086555445033982738,0.022965685091164027,0.017931050635188697,0.024417291150596276,0.020557862797819664,0.00050489203927934752,0.0026133386275350974,0.0066599909116555446,0.005621385074206107,0.0039381919579196114,0.0049599753166361775,0.0045911638942913056,0.008192711790929591,0.01079294340801449,0.00085155822890286886,0.00099236719011647689,0.00088880804972801884,0.0030852775258315224,0.0034407729515016218,279.32005141388174,225.54113110539845,2
2,1,653,280.0,411.0,1.5566981565308984,0.92800909613785887,1.0,0.61837121212121215,0.61706205615170007,47.671881830006768,44.147480109288232,8.5440037453175304,3.8875825864190325,3.6055512754639891,16.973403703715405,17.760518821793696,-73.447293117823179,115.31800000000004,0.92427459306440196,0.4265907761477995,0.001469145259892261,0.14329320849779062,0.10732020333173292,0.0042613575132945773,0.0039602833431786116,0.040830191658084485,0.056187696090332487,0.044459362439739428,0.0028263425102303358,0.0021672711028038511,0.0022260772060476199,0.013093838293318283,0.01307820573734377,0.015929000271570869,0.020906621378150095,0.0025341482514060539,0.0017010782569812442,0.00048764605818558797,0.0016067100576716855,0.00112533514030327,0.0033597658928784307,0.003683739251802212,0.00088287466831967365,0.010074353462067817,0.00051114142703000815,0.0017706037821037266,0.0020686062124388518,0.0011845515026853628,0.0013181768905087699,277.03369065849921,419.56814701378255,1
2,2,871,288.0,447.0,1.7793552012277984,0.94881637448538658,1.0,0.67624223602484468,0.5720982479112029,59.868997773237083,55.901699437494742,9.0,4.1685324187972563,4.0,18.900865206923513,18.908321176079543,-79.564132903699019,138.31799999999998,0.92023243528790299,0.35487732590858456,0.0068535641310211145,0.1305243205007641,0.091746008124261286,0.010673138912807021,0.0014795918619644678,0.043496342201238859,0.057403906411257144,0.041643027801273963,0.0096624789541845339,0.0014468336082341124,0.0011737474119971213,0.021445570916641041,0.018423343588371902,0.025864554561353444,0.021821450208359953,0.0055693468608308287,0.0013181576093787616,0.0002203123018419961,0.0011505001696465163,0.004244377500951621,0.0048100369350994572,0.0053819188456304427,0.0095282467917353359,0.012186426156687259,0.0015528811446609758,0.0016887897254883801,0.00086442540998422533,0.00050630919620907983,0.0011606309171867145,289.53616532721009,438.2238805970149,2
3,1,672,272.0,356.0,1.633670159360364,0.93678146454718858,1.0,0.63516068052930053,0.62414469661885441,49.895739064528499,46.572524088780071,8.5440037453175304,3.8713966432951206,3.6055512754639891,16.572180161268243,17.459266141324477,-73.583656632942663,116.31800000000004,0.93139293139293144,0.39447532229692456,0.0021813919400439441,0.14023450912847596,0.099554408779930173,0.0047222189821766554,0.0025714040846047861,0.040321589520588869,0.059767216222782117,0.042039704982049016,0.004320861995158758,0.00096793785693027076,0.0016901989050145051,0.018458408737775153,0.01507956308052299,0.021582789210729172,0.020537913774017515,0.0022116789669312416,0.00067889372107058775,0.00098331538363018276,0.0011139492265132209,0.0014295888880345861,0.0009933829575146057,0.0011538168158132692,0.0040349610458292233,0.010842928298558782,0.0010235452437880634,0.00079531138669176697,0.0011172467435351617,0.0012452205929142247,0.00077201126411309789,268.89285714285717,365.57142857142856,1
3,2,502,285.0,368.0,1.2069731201531357,0.83485011688109723,1.0,0.68206521739130432,0.69534742505172664,34.437760802452914,32.572994949804659,8.9442719099991592,3.830266296838762,3.6055512754639891,17.432438391024956,18.957206351824006,-70.080276537988254,95.248000000000033,0.92876965772432929,0.60241871013859738,0.024686539354805932,0.16237488287175053,0.11674432653991432,0.011232252699912168,0.013989349745292449,0.0080046397523239072,0.031748684336025318,0.025133656265815887,0.0022427285059574255,0.004990215587623424,0.011549707808602021,0.01032697295950517,0.017060446883572073,0.011813960042224254,0.0054814181149122152,0.0071461023631688618,0.0061443673506724888,0.006380020648370211,0.0065950417778241786,0.011156733684306324,0.01227744652569147,0.012822044767735756,0.015280695337565816,0.0013868865493726825,0.0040214834918269101,0.0032753411064411855,0.0053359516966156326,0.0028724902951965886,0.00074752665558320674,284.33266932270914,370.50996015936255,2
3,3,409,279.0,396.0,1.2028228431076189,0.79620954068700223,1.0,0.73297491039426521,0.64031652309622034,30.318919189571393,30.594117081556711,8.0,3.4793040650220726,3.0,16.98075834131544,18.343581726524825,-86.267905543138198,89.592000000000027,0.8881650380021715,0.55343147390164771,0.076970965112528697,0.16361303531163543,0.075116801332911098,0.040771504044135806,0.036231959524906709,0.0031992069792898055,0.031548294779548298,0.01807500131204795,0.0044013760254491682,0.0050582877195329999,0.023090522995121196,0.0057959709045253488,0.00045225567232822807,0.010595964701919274,0.021112143648297377,0.017241746469500777,0.014973279070465756,0.01727138746937747,0.011187594354519411,0.0061672580789898105,0.0039646350002669924,0.0047705085071412029,0.0047324017002934697,0.010895664933096233,0.0073694105997562653,0.0069104318374070915,0.0083186157882279513,0.010452939654937515,0.0017894671419360346,279.2127139364303,397.00733496332521,3
4,1,753,271.0,370.0,1.6746498407701247,0.9405711224322113,1.0,0.61469387755102045,0.59237013808396854,53.637208917563648,49.729267036625423,8.5440037453175304,3.9992346087416863,4.0,17.07629936490925,18.215022699013396,-73.079354221463333,126.38800000000005,0.9400749063670415,0.38664136955256262,0.016912991313753525,0.13556654389271938,0.098253327885693201,0.01190205070894578,0.015464817848480769,0.040055469059293219,0.058767145669080839,0.040395601484889403,0.0051121313538888867,0.010529774512418716,0.010822949498093225,0.02000694506571225,0.015379301728245856,0.021387834809619036,0.018515977093721984,0.0016277449372645283,0.0021914455501838587,0.0053502509692120162,0.0067634253048332255,0.0017909709219469242,0.0034912909328570496,0.00079246843741289448,0.0048066287781260448,0.0086629438203292084,0.0010452071876233574,0.0013474161735141316,0.0028359876281019484,0.0014447808033285379,0.0038279378953885025,267.63612217795486,380.47941567065072,1
4,2,495,286.0,379.0,1.1842795062710967,0.81422150258942627,1.0,0.67255434782608692,0.63458826042334737,33.442642565139394,31.256999216175569,8.9442719099991592,3.8386788895592288,3.6055512754639891,17.861346318452377,19.4152713694791,-71.118416352895679,99.006000000000029,0.92523364485981308,0.622333313754029,0.068575010594255609,0.14855075380929306,0.10651283287442027,0.027864513352745143,0.028608108059158699,0.0014201849206419005,0.026293678182198774,0.011482351068983944,0.0089625861630907768,0.0087979455368619557,0.013825784876754978,0.0038573623203272699,0.013765820171812215,0.0019151539960337964,0.011566401708851742,0.013845475006883224,0.018762242135764658,0.014716291310218762,0.014647232619102831,0.0037735680758990897,0.0026759178339023832,0.0076647396821870762,0.0036297906653529207,0.0047861293427653804,0.0061832312919891585,0.0032601369033390588,0.0098081789240583046,0.0079169127813922963,0.0050968903758321932,284.58989898989898,382.61212121212122,2
4,3,492,278.0,407.0,1.2079327962237412,0.8268885284059615,1.0,0.70285714285714285,0.6570187638187851,33.936113952544687,34.365680554879162,9.0,3.8661319141896002,3.6055512754639891,18.605210188381267,19.084511941082695,-87.890686074304668,97.006000000000029,0.9213483146067416,0.53042663506325172,0.072523361182991727,0.17074009919196623,0.078795280614063934,0.046447170637601808,0.028595631518069143,0.00072226257965707678,0.036971131261099771,0.023499462641218521,0.0060416878871634543,0.0076281962473459825,0.006305658754567357,0.0036406228969208445,0.0053358540241425839,0.003439529944891558,0.018626444369137133,0.015150121244125252,0.016776741711166141,0.010773337247211318,0.0021529244713760806,0.0062305152336073399,0.004946687170106291,0.0025383707138439413,0.0024260609018957251,0.010469963464876856,0.0077407861049134784,0.011669639419004783,0.0078396869883135302,0.011853493936258971,0.0013052563992145697,277.83130081300811,410.29065040650408,3
